Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4
M137,1,182,23966,10640,10640,55,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q215,27,179,20768,20768,3109,181,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K188,21,180,26166,16579,16579,119,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K191,17,180,18305,14758,14758,159,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q191,26,177,21600,7806,7806,35,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K192,20,182,15170,40647,40647,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q135,29,170,25076,25076,3780,183,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K200,20,180,29769,10036,10036,162,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q200,25,179,18765,12208,12208,88,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q201,25,178,23102,3718,3718,155,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q205,26,178,16650,28425,28425,61,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q136,29,198,22903,22903,4690,183,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M206,4,176,29205,8225,8225,55,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K207,22,177,18346,2785,2785,51,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K208,18,181,20512,3867,3867,168,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K209,21,180,15300,18933,18933,88,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q254,27,167,18559,18559,2301,181,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q219,25,177,19530,18945,18945,85,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K221,17,177,17689,270,270,169,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K224,19,177,34375,20234,20234,86,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K226,21,178,17730,20479,20479,84,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X134,12,172,1506353,1506353,267963,184,-15.738923366992402,2.138087655886076,-0.3335141720288368,-1.3552383696800543
M234,2,181,15820,3912,3912,180,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K235,18,177,18900,14269,14269,69,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K242,18,177,18900,11545,11545,50,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K236,22,177,25200,12684,12684,76,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K308,16,195,168028,168028,24074,186,-11.172823141302564,2.7530605897294373,1.1497539349676078,-0.35434333110427735
K241,17,177,18019,656,656,169,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K243,16,178,18910,2985,2985,177,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q253,27,180,22500,3946,3946,68,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q268,29,177,14254,15506,15506,120,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
KMCA,17,219,3956763,3956763,615185,199,13.732183590364876,-0.7851274030068902,0.8961213309121357,1.9215907745798773
